decade,feature,correlation
1920s,valence,0.031
1920s,acousticness,0.102
1920s,danceability,0.04
1920s,duration,0.045
1920s,energy,0.014
1920s,explicit,-0.124
1920s,instrumentalness,-0.026
1920s,liveness,-0.018
1920s,loudness,0.128
1920s,mode,0.056
1920s,speechiness,-0.133
1920s,tempo,0.05
1930s,valence,-0.0
1930s,acousticness,-0.063
1930s,danceability,0.094
1930s,duration,0.007
1930s,energy,-0.017
1930s,explicit,-0.102
1930s,instrumentalness,-0.079
1930s,liveness,-0.02
1930s,loudness,0.016
1930s,mode,-0.027
1930s,speechiness,-0.039
1930s,tempo,0.02
1940s,valence,-0.029
1940s,acousticness,-0.011
1940s,danceability,0.0
1940s,duration,-0.016
1940s,energy,-0.015
1940s,explicit,-0.088
1940s,instrumentalness,-0.099
1940s,liveness,-0.004
1940s,loudness,-0.007
1940s,mode,0.015
1940s,speechiness,-0.07
1940s,tempo,0.049
1950s,valence,0.059
1950s,acousticness,-0.173
1950s,danceability,0.081
1950s,duration,-0.018
1950s,energy,0.058
1950s,explicit,-0.072
1950s,instrumentalness,-0.132
1950s,liveness,-0.097
1950s,loudness,0.105
1950s,mode,-0.01
1950s,speechiness,-0.164
1950s,tempo,0.037
1960s,valence,0.057
1960s,acousticness,-0.191
1960s,danceability,0.044
1960s,duration,-0.014
1960s,energy,0.117
1960s,explicit,-0.004
1960s,instrumentalness,-0.097
1960s,liveness,-0.049
1960s,loudness,0.12
1960s,mode,-0.004
1960s,speechiness,-0.069
1960s,tempo,0.037
1970s,valence,0.028
1970s,acousticness,-0.062
1970s,danceability,0.079
1970s,duration,0.003
1970s,energy,0.016
1970s,explicit,-0.019
1970s,instrumentalness,-0.065
1970s,liveness,-0.105
1970s,loudness,0.071
1970s,mode,-0.03
1970s,speechiness,-0.056
1970s,tempo,0.001
1980s,valence,0.054
1980s,acousticness,-0.022
1980s,danceability,0.092
1980s,duration,0.037
1980s,energy,0.022
1980s,explicit,-0.029
1980s,instrumentalness,-0.093
1980s,liveness,-0.077
1980s,loudness,0.081
1980s,mode,-0.01
1980s,speechiness,-0.082
1980s,tempo,-0.002
1990s,valence,0.019
1990s,acousticness,-0.073
1990s,danceability,0.061
1990s,duration,0.027
1990s,energy,0.079
1990s,explicit,0.027
1990s,instrumentalness,-0.082
1990s,liveness,-0.033
1990s,loudness,0.136
1990s,mode,-0.026
1990s,speechiness,-0.035
1990s,tempo,-0.012
2000s,valence,0.026
2000s,acousticness,-0.06
2000s,danceability,0.063
2000s,duration,-0.002
2000s,energy,0.06
2000s,explicit,-0.004
2000s,instrumentalness,-0.068
2000s,liveness,-0.034
2000s,loudness,0.094
2000s,mode,-0.032
2000s,speechiness,-0.066
2000s,tempo,0.012
2010s,valence,0.05
2010s,acousticness,0.057
2010s,danceability,0.076
2010s,duration,-0.195
2010s,energy,-0.091
2010s,explicit,0.141
2010s,instrumentalness,-0.264
2010s,liveness,-0.067
2010s,loudness,0.057
2010s,mode,-0.014
2010s,speechiness,0.051
2010s,tempo,-0.039
2020s,valence,-0.092
2020s,acousticness,-0.003
2020s,danceability,-0.037
2020s,duration,-0.159
2020s,energy,-0.104
2020s,explicit,0.243
2020s,instrumentalness,-0.067
2020s,liveness,-0.003
2020s,loudness,-0.039
2020s,mode,0.006
2020s,speechiness,-0.008
2020s,tempo,-0.044
